,Date,Open,High,Low,Close,Adj Close,Volume,Returns,MovingAverage_50,MovingAverage_200,VolumeChange,VolumeMovingAverage_50,VolumeMovingAverage_200,MarketReturns,CAPM,HighLowRange,HighCloseRange,LowCloseRange,Volatility,RSI,Momentum,VolumeMovingAverage_10,PriceLag_1,ReturnLag_1,PriceLag_3,ReturnLag_3,PriceLag_5,ReturnLag_5,Mkt-RF,SMB,HML,RMW,CMA,RF,ADS_Index,UNRATE,"('Adj Close', 'BYD')","('Adj Close', 'VWAGY')","('Close', 'BYD')","('Close', 'VWAGY')","('High', 'BYD')","('High', 'VWAGY')","('Low', 'BYD')","('Low', 'VWAGY')","('Open', 'BYD')","('Open', 'VWAGY')","('Volume', 'BYD')","('Volume', 'VWAGY')"
0,29-06-2010,1.266667008,1.666666985,1.169332981,1.592666984,1.592666984,281494500,,,,,,,0.002120676,,0.497334003,,,0.497334003,,,,,,,,,,-3.23,-0.79,-1.29,0.45,-0.24,0.001,-0.0339851,9.4,8.566740036,6.605912685,8.930000305,8.574999809,9.489999771,8.645000458,8.869999886,8.484999657,9.390000343,8.524999619,1856400,35400
1,30-06-2010,1.719333053,2.028000116,1.553333044,1.588667035,1.588667035,257806500,-0.002511478,,,-0.084150845,,,0.002120676,0.01995226,0.474667072,0.435333133,0.03933394,0.316444715,,,,1.592666984,,,,,,-0.98,0,-0.34,-0.03,-0.02,0.001,-0.0227731,9.4,8.144638062,6.605912685,8.489999771,8.574999809,9.180000305,8.675000191,8.430000305,8.524999619,8.949999809,8.595000267,1750400,15000
2,01-07-2010,1.666666985,1.728000045,1.351333022,1.463999987,1.463999987,123282000,-0.078472736,,,-0.521804144,,,0.002120676,0.019791171,0.376667023,0.13933301,0.237334013,0.251111348,,,,1.588667035,-0.002511478,,,,,-0.4,-0.36,-0.43,0.49,0.13,0.001,-0.0101592,9.4,8.029519081,6.702208996,8.369999886,8.699999809,8.630000114,8.699999809,8.109999657,8.515000343,8.600000381,8.68999958,2840400,39400
3,02-07-2010,1.533332944,1.539999962,1.24733305,1.279999971,1.279999971,77097000,-0.125683072,,,-0.3746289,,,0.002120676,0.019691053,0.292666912,0.075999975,0.216666937,0.195111275,,,,1.463999987,-0.078472736,1.592666984,,,,-0.5,-0.33,-0.44,0.11,-0.37,0.001,0.00126389,9.4,7.732130527,6.663690567,8.06000042,8.649999619,8.520000458,8.725000381,7.960000038,8.529999733,8.510000229,8.574999809,1821200,9400
4,06-07-2010,1.333333015,1.333333015,1.055333018,1.074000001,1.074000001,103003500,-0.160937481,,,0.336024748,,,0.002120676,0.01961629,0.277999997,0.053333044,0.224666953,0.185333331,,,,1.279999971,-0.125683072,1.588667035,-0.002511478,,,0.33,-1.96,0.11,0.04,-0.44,0.001,0.0344367,9.4,7.425146103,6.759986877,7.739999771,8.774999619,8.390000343,8.850000381,7.710000038,8.699999809,8.390000343,8.699999809,2011300,13000
5,07-07-2010,1.093333006,1.108667016,0.998667002,1.053333044,1.053333044,103825500,-0.019242977,,,0.007980311,,,0.002120676,0.019916778,0.110000014,0.034667015,0.075332999,0.073333343,,,,1.074000001,-0.160937481,1.463999987,-0.078472736,1.592666984,,3.17,0.04,0.43,-0.76,0.93,0.001,0.0392698,9.4,7.808876991,6.867839336,8.140000343,8.914999962,8.140000343,9,7.599999905,8.765000343,7.789999962,8.864999771,1741300,12600
6,08-07-2010,1.075999975,1.167999983,1.037999988,1.164000034,1.164000034,115671000,0.105063627,,,0.114090469,,,0.002120676,0.020180392,0.129999995,0.114666939,0.015333056,0.086666663,,,,1.053333044,-0.019242977,1.279999971,-0.125683072,1.588667035,-0.002511478,1,0.57,-0.01,0.08,0.12,0.001,0.0427001,9.4,7.770503521,6.929468155,8.100000381,8.994999886,8.380000114,8.994999886,7.829999924,8.864999771,8.31000042,8.93999958,2181100,15800
7,09-07-2010,1.172000051,1.19333303,1.103332996,1.159999967,1.159999967,60759000,-0.003436484,,,-0.474725731,,,0.002120676,0.019950299,0.090000033,0.029332995,0.060667038,0.060000022,,,,1.164000034,0.105063627,1.074000001,-0.160937481,1.463999987,-0.078472736,0.81,0.69,0.61,-0.64,0.48,0.001,0.044729,9.4,8.230977058,6.856283188,8.579999924,8.899999619,8.609999657,9,8.06000042,8.864999771,8.100000381,8.960000038,1505200,13400
8,12-07-2010,1.196666956,1.204666972,1.133332968,1.136667013,1.136667013,33037500,-0.020114616,,,-0.456253395,,,0.002120676,0.01991493,0.071334004,0.044667006,0.026666999,0.047556003,,,,1.159999967,-0.003436484,1.053333044,-0.019242977,1.279999971,-0.125683072,-0.11,-1.17,0.11,0.27,-0.11,0.001,0.0441104,9.4,8.048707008,6.894801617,8.390000343,8.949999809,8.770000458,9.015000343,8.270000458,8.869999886,8.5,8.994999886,1040300,13000
9,13-07-2010,1.159332991,1.24266696,1.126667023,1.209332943,1.209332943,40201500,0.063928951,,,0.216844495,,,0.002120676,0.020093159,0.115999937,0.105999947,0.00999999,0.077333291,,,119617800,1.136667013,-0.020114616,1.164000034,0.105063627,1.074000001,-0.160937481,1.76,1.62,0.63,-0.67,0.9,0.001,0.0439323,9.4,8.192602158,7.222208023,8.539999962,9.375,8.619999886,9.375,8.420000076,9.25,8.600000381,9.364999771,1547700,25200
